Language,Timestamp,Epochs,Final_MCC,Best_MCC,Final_Accuracy,Best_Accuracy,Final_Val_Loss,Min_Val_Loss,Final_Train_Loss,File
en-cs,20250630_221757,3,0.2754861058056155,0.2754861058056155,0.8276269185360094,0.8394332939787486,0.4344419242357308,0.39348475747513323,0.277518656087231,training_history_20250630_221757_en-cs.json
en-de,20250630_221858,3,0.3339949569156387,0.3747788165476391,0.7542277339346111,0.7632468996617813,0.578744732641748,0.5008786592100348,0.34676977606104303,training_history_20250630_221858_en-de.json
en-ja,20250630_221817,3,0.07643068823979486,0.07643068823979486,0.8878612716763006,0.8994219653179191,0.3459212761372328,0.311338871717453,0.23446952035719437,training_history_20250630_221817_en-ja.json
en-zh,20250630_222006,3,0.1928346995645255,0.19444503363724344,0.8382165605095542,0.8509554140127389,0.446735726473853,0.3834502520412207,0.2702918393826515,training_history_20250630_222006_en-zh.json
